BranchesFrom	Vessel	VesselType	BodyPart	Sex	Anastomoses	ForBranchesSee	MergedVessel	CoordX	CoordY	BranchSequence	CellType	CellTypeLabel	CellTypeID	Biomarkers	BiomarkersLabel	BiomarkersID	ReferenceURL	Reference	ReferenceDOI	UBERON	FMA	BodyPartUberon	UBERONLabel	FMALabel	PathFromHeart
descending thoracic aorta	subcostal artery	artery	thoracic wall				1	50	-110	14	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subcostal_arteries	https://en.wikipedia.org/wiki/Subcostal_arteries		UBERON:0001561	fma4613	UBERON:0016403	subcostal artery	Subcostal artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;subcostal artery
descending thoracic aorta	superior left bronchial artery	artery	lung				0			10	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Bronchial_artery	https://en.wikipedia.org/wiki/Bronchial_artery			fma4146	UBERON:0002048		Left first bronchial artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;superior left bronchial artery
descending thoracic aorta	superior phrenic artery	artery	diaphragm				0	50	-100	15	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superior_phrenic_arteries	https://en.wikipedia.org/wiki/Superior_phrenic_arteries		UBERON:0013133	fma4163	UBERON:0001103	superior phrenic artery	Superior phrenic artery	left ventricle;aorta;ascending aorta;aortic arch;descending aorta;descending thoracic aorta;superior phrenic artery
aortic arch	left common carotid artery	artery	neck			common carotid artery	0	35	80	4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_carotid_artery	https://en.wikipedia.org/wiki/Common_carotid_artery		UBERON:0001536	fma4058	UBERON:0000974	left common carotid artery plus branches	Left common carotid artery	left ventricle;aorta;ascending aorta;aortic arch;left common carotid artery
aortic arch	left subclavian artery	artery	thoracic cavity			subclavian artery	0	40	70	5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subclavian_artery	https://en.wikipedia.org/wiki/Subclavian_artery		UBERON:0001584	fma4694	UBERON:0002224	left subclavian artery	Left subclavian artery	left ventricle;aorta;ascending aorta;aortic arch;left subclavian artery
left subclavian artery	dorsal scapular artery	artery	shoulder				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subclavian_artery	https://en.wikipedia.org/wiki/Subclavian_artery			fma79658	UBERON:0001467		Dorsal scapular artery	left ventricle;aorta;ascending aorta;aortic arch;left subclavian artery;dorsal scapular artery
aortic arch	subclavian artery	artery	thoracic cavity				1	40	60	3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subclavian_artery	https://en.wikipedia.org/wiki/Subclavian_artery		UBERON:0001533	fma3951	UBERON:0002224	subclavian artery	Subclavian artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery
subclavian artery	axillary artery	artery	shoulder				0	60	70	4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Axillary_artery	https://en.wikipedia.org/wiki/Axillary_artery		UBERON:0001394	fma22654	UBERON:0001467	axillary artery	Axillary artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery
axillary artery	anterior humeral circumflex artery	artery	arm				0			6	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Anterior_humeral_circumflex_artery	https://en.wikipedia.org/wiki/Anterior_humeral_circumflex_artery			fma22680	UBERON:0001460		Anterior circumflex humeral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;anterior humeral circumflex artery
axillary artery	brachial artery	artery	arm				0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Brachial_artery	https://en.wikipedia.org/wiki/Brachial_artery		UBERON:0001398	fma22689	UBERON:0001460	brachial artery	Brachial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery
brachial artery	deep brachial artery	artery	arm				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_artery_of_arm	https://en.wikipedia.org/wiki/Deep_artery_of_arm		UBERON:0001399	fma22695	UBERON:0001460	deep brachial artery	Deep brachial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;deep brachial artery
deep brachial artery	medial collateral artery	artery	arm				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Medial_collateral_artery	https://en.wikipedia.org/wiki/Medial_collateral_artery			fma23119	UBERON:0001460		Medial collateral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;deep brachial artery;medial collateral artery
deep brachial artery	radial collateral artery	artery	arm				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Radial_collateral_artery	https://en.wikipedia.org/wiki/Radial_collateral_artery			fma23120	UBERON:0001460		Radial collateral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;deep brachial artery;radial collateral artery
brachial artery	inferior ulnar collateral artery	artery	arm				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_ulnar_collateral_artery	https://en.wikipedia.org/wiki/Inferior_ulnar_collateral_artery			fma22710	UBERON:0001460		Inferior ulnar collateral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;inferior ulnar collateral artery
brachial artery	radial artery	artery	arm				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Radial_artery	https://en.wikipedia.org/wiki/Radial_artery		UBERON:0001404	fma22730	UBERON:0001460	radial artery	Radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery
radial artery	dorsal carpal branch of radial artery	artery	hand				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_radial_artery	https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_radial_artery			fma22755	UBERON:0002398		Dorsal carpal branch of radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;dorsal carpal branch of radial artery
dorsal carpal branch of radial artery	dorsal carpal arch	artery	hand		dorsal carpal branch of the ulnar artery		0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_carpal_arch	https://en.wikipedia.org/wiki/Dorsal_carpal_arch			fma22755	UBERON:0002398		Dorsal carpal branch of radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;dorsal carpal branch of radial artery;dorsal carpal arch
dorsal carpal arch	dorsal metacarpal artery	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_metacarpal_arteries	https://en.wikipedia.org/wiki/Dorsal_metacarpal_arteries		UBERON:0002454	fma321491	UBERON:0002398	dorsal metacarpal artery	Dorsal metacarpal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;dorsal carpal branch of radial artery;dorsal carpal arch;dorsal metacarpal artery
dorsal metacarpal artery	dorsal digital artery of hand	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_hand	https://en.wikipedia.org/wiki/Dorsal_digital_arteries_of_hand		UBERON:0006146		UBERON:0002398	dorsal digital artery of manus		left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;dorsal carpal branch of radial artery;dorsal carpal arch;dorsal metacarpal artery;dorsal digital artery of hand
radial artery	palmar carpal branch of radial artery	artery	hand				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_radial_artery	https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_radial_artery			fma22750	UBERON:0002398		Palmar carpal branch of radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;palmar carpal branch of radial artery
palmar carpal branch of radial artery	deep palmar arch #2	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_palmar_arch	https://en.wikipedia.org/wiki/Deep_palmar_arch			fma22838	UBERON:0002398		Deep palmar arterial arch	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;palmar carpal branch of radial artery;deep palmar arch #2
radial artery	princeps pollicis artery	artery	hand				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Princeps_pollicis_artery	https://en.wikipedia.org/wiki/Princeps_pollicis_artery			fma71534	UBERON:0002398		Set of princeps pollicis artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;princeps pollicis artery
radial artery	proper dorsal digital artery of hand	artery	hand				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://sjrhem.ca/rcp-arterial-bleeding/	http://sjrhem.ca/rcp-arterial-bleeding/				UBERON:0002398			left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;proper dorsal digital artery of hand
radial artery	radial recurrent artery	artery	arm				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Radial_recurrent_artery	https://en.wikipedia.org/wiki/Radial_recurrent_artery			fma22748	UBERON:0001460		Radial recurrent artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;radial recurrent artery
radial artery	superficial palmar branch of radial artery	artery	hand				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superficial_palmar_branch_of_radial_artery	https://en.wikipedia.org/wiki/Superficial_palmar_branch_of_radial_artery			fma22752	UBERON:0002398		Superficial palmar branch of radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;superficial palmar branch of radial artery
superficial palmar branch of radial artery	superficial palmar arch	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superficial_palmar_arch	https://en.wikipedia.org/wiki/Superficial_palmar_arch		UBERON:0006564	fma22834	UBERON:0002398	superficial palmar arch	Superficial palmar arterial arch	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;superficial palmar branch of radial artery;superficial palmar arch
superficial palmar arch	common palmar digital artery	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_palmar_digital_arteries	https://en.wikipedia.org/wiki/Common_palmar_digital_arteries		UBERON:0001410	fma22852	UBERON:0002398	common palmar digital artery	Common palmar digital artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;superficial palmar branch of radial artery;superficial palmar arch;common palmar digital artery
common palmar digital artery	proper palmar digital artery	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries		UBERON:0006137	fma70804	UBERON:0002398	proper palmar digital artery	Set of proper palmar digital arteries	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;radial artery;superficial palmar branch of radial artery;superficial palmar arch;common palmar digital artery;proper palmar digital artery
brachial artery	superior ulnar collateral artery	artery	arm				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superior_ulnar_collateral_artery	https://en.wikipedia.org/wiki/Superior_ulnar_collateral_artery			fma22706	UBERON:0001460		Superior ulnar collateral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;superior ulnar collateral artery
brachial artery	ulnar artery	artery	arm				0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ulnar_artery	https://en.wikipedia.org/wiki/Ulnar_artery		UBERON:0001406	fma22796	UBERON:0001460	ulnar artery	Ulnar artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery
ulnar artery	anterior ulnar recurrent artery	artery	arm				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Anterior_ulnar_recurrent_artery	https://en.wikipedia.org/wiki/Anterior_ulnar_recurrent_artery			fma22800	UBERON:0001460		Anterior ulnar recurrent artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;anterior ulnar recurrent artery
ulnar artery	common interosseous artery	artery	arm				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_interosseous_artery	https://en.wikipedia.org/wiki/Common_interosseous_artery			fma22806	UBERON:0001460		Common interosseous artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;common interosseous artery
common interosseous artery	anterior interosseous artery	artery	arm				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Anterior_interosseous_artery	https://en.wikipedia.org/wiki/Anterior_interosseous_artery			fma22810	UBERON:0001460		Anterior interosseous artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;common interosseous artery;anterior interosseous artery
common interosseous artery	posterior interosseous artery	artery	arm				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_interosseous_artery	https://en.wikipedia.org/wiki/Common_interosseous_artery			fma22811	UBERON:0001460		Posterior interosseous artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;common interosseous artery;posterior interosseous artery
ulnar artery	deep palmar branch of ulnar artery	artery	hand				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_palmar_branch_of_ulnar_artery	https://en.wikipedia.org/wiki/Deep_palmar_branch_of_ulnar_artery			fma22824	UBERON:0002398		Deep palmar branch of ulnar artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;deep palmar branch of ulnar artery
deep palmar branch of ulnar artery	deep palmar arch	artery	hand				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_palmar_arch	https://en.wikipedia.org/wiki/Deep_palmar_arch			fma22838	UBERON:0002398		Deep palmar arterial arch	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;deep palmar branch of ulnar artery;deep palmar arch
ulnar artery	dorsal carpal branch of ulnar artery	artery	hand				0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_ulnar_artery	https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_ulnar_artery			fma22820	UBERON:0002398		Dorsal carpal branch of ulnar artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;dorsal carpal branch of ulnar artery
dorsal carpal branch of ulnar artery	dorsal carpal arch #2	artery	hand		dorsal carpal branch of the radial artery		0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Dorsal_carpal_arch	https://en.wikipedia.org/wiki/Dorsal_carpal_arch			fma22755	UBERON:0002398		Dorsal carpal branch of radial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;dorsal carpal branch of ulnar artery;dorsal carpal arch #2
ulnar artery	median artery	artery	arm				0			6	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://www.sciencedirect.com/topics/medicine-and-dentistry/median-artery	Paul Rea, Chapter 2 - Upper Limb Nerve Supply, Editor(s): Paul Rea, Essential Clinically Applied Anatomy of the Peripheral Nervous System in the Limbs, Academic Press, 2015, Pages 41-100, ISBN 9780128030622.	10.1016/B978-0-12-803062-2.00002-4	UBERON:0002249	fma77142	UBERON:0001460	median artery	Median artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;median artery
ulnar artery	palmar carpal branch of ulnar artery	artery	hand				0			7	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_ulnar_artery	https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_ulnar_artery			fma22817	UBERON:0002398		Palmar carpal branch of ulnar artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;palmar carpal branch of ulnar artery
ulnar artery	posterior ulnar recurrent artery	artery	arm				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Posterior_ulnar_recurrent_artery	https://en.wikipedia.org/wiki/Posterior_ulnar_recurrent_artery			fma22803	UBERON:0001460		Posterior ulnar recurrent artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;posterior ulnar recurrent artery
ulnar artery	superficial palmar arch #2	artery	hand				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superficial_palmar_arch	https://en.wikipedia.org/wiki/Superficial_palmar_arch		UBERON:0006564	fma22834	UBERON:0002398	superficial palmar arch	Superficial palmar arterial arch	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;brachial artery;ulnar artery;superficial palmar arch #2
axillary artery	lateral thoracic artery	artery	shoulder				0			3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Lateral_thoracic_artery	https://en.wikipedia.org/wiki/Lateral_thoracic_artery		UBERON:0001396	fma22674	UBERON:0001467	lateral thoracic artery	Lateral thoracic artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;lateral thoracic artery
axillary artery	posterior humeral circumflex artery	artery	arm				0			5	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Posterior_humeral_circumflex_artery	https://en.wikipedia.org/wiki/Posterior_humeral_circumflex_artery			fma22684	UBERON:0001460		Posterior circumflex humeral artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;posterior humeral circumflex artery
axillary artery	subscapular artery	artery	shoulder				0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subscapular_artery	https://en.wikipedia.org/wiki/Subscapular_artery		UBERON:0001397	fma22677	UBERON:0001467	subscapular artery	Subscapular artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;subscapular artery
subscapular artery	circumflex scapular artery	artery	shoulder				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Circumflex_scapular_artery	https://en.wikipedia.org/wiki/Circumflex_scapular_artery			fma23179	UBERON:0001467		Circumflex scapular artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;subscapular artery;circumflex scapular artery
subscapular artery	thoracodorsal artery	artery	shoulder				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Thoracodorsal_artery	https://en.wikipedia.org/wiki/Thoracodorsal_artery		UBERON:0002011	fma66320	UBERON:0001467	thoracodorsal artery	Thoracodorsal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;subscapular artery;thoracodorsal artery
axillary artery	superior thoracic artery	artery	shoulder				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Superior_thoracic_artery	https://en.wikipedia.org/wiki/Superior_thoracic_artery		UBERON:0035273	fma22668	UBERON:0001467	superior thoracic artery	Superior thoracic artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;superior thoracic artery
axillary artery	thoracoacromial artery	artery	shoulder				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Thoracoacromial_artery	https://en.wikipedia.org/wiki/Thoracoacromial_artery		UBERON:0001395	fma22671	UBERON:0001467	thoraco-acromial artery	Thoraco-acromial artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;axillary artery;thoracoacromial artery
subclavian artery	costocervical trunk	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Costocervical_trunk	https://en.wikipedia.org/wiki/Costocervical_trunk		UBERON:0004688	fma10636	UBERON:0000974	costo-cervical trunk	Costocervical trunk	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk
costocervical trunk	deep cervical artery	artery	neck				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Deep_cervical_artery	https://en.wikipedia.org/wiki/Deep_cervical_artery		UBERON:0012321	fma10659	UBERON:0000974	deep cervical artery	Deep cervical artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk;deep cervical artery
deep cervical artery	segmental spinal artery #2	artery	spinal cord				0			1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/	https://anatomyzone.com/neuroanatomy/spinal-cord/blood-supply-to-the-spinal-cord/				UBERON:0002240			left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk;deep cervical artery;segmental spinal artery #2
costocervical trunk	supreme intercostal artery	artery	thoracic wall				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Intercostal_arteries	https://en.wikipedia.org/wiki/Intercostal_arteries		UBERON:0006198	fma76998	UBERON:0016403	dorsal intercostal artery	Superior intercostal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk;supreme intercostal artery
supreme intercostal artery	posterior intercostal artery 1	artery	thoracic wall			posterior intercostal artery	0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Intercostal_arteries	https://en.wikipedia.org/wiki/Intercostal_arteries			fma66241	UBERON:0016403		First posterior intercostal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk;supreme intercostal artery;posterior intercostal artery 1
supreme intercostal artery	posterior intercostal artery 2	artery	thoracic wall			posterior intercostal artery	0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Intercostal_arteries	https://en.wikipedia.org/wiki/Intercostal_arteries			fma3994	UBERON:0016403		Second posterior intercostal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;costocervical trunk;supreme intercostal artery;posterior intercostal artery 2
subclavian artery	internal thoracic artery	artery	thoracic wall				0	50	50	3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Internal_thoracic_artery	https://en.wikipedia.org/wiki/Internal_thoracic_artery		UBERON:0002456	fma3960	UBERON:0016403	internal thoracic artery	Internal thoracic artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;internal thoracic artery
internal thoracic artery	anterior intercostal artery	artery	thoracic wall				1			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://radiopaedia.org/articles/anterior-intercostal-arteries	https://radiopaedia.org/articles/anterior-intercostal-arteries			fma10641	UBERON:0016403		Anterior intercostal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;internal thoracic artery;anterior intercostal artery
internal thoracic artery	anterior intercostal artery 1	artery	thoracic wall			anterior intercostal artery	0			4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://radiopaedia.org/articles/anterior-intercostal-arteries	https://radiopaedia.org/articles/anterior-intercostal-arteries			fma10652	UBERON:0016403		First anterior intercostal artery	left ventricle;aorta;ascending aorta;aortic arch;subclavian artery;internal thoracic artery;anterior intercostal artery 1
